ticker,is_active
AAPL,true
ABNB,true
ADBE,true
ADI,true
ADP,true
ADSK,true
AEP,true
AMAT,true
AMD,true
AMGN,true
AMZN,true
APP,true
ARM,true
ASML,true
AVGO,true
AXON,true
AZN,true
BIIB,true
BKNG,true
BKR,true
CDNS,true
CDW,true
CHTR,true
CTAS,true
GOOG,true
GOOGL,true
LIN,true
LRCX,true
LULU,true
MAR,true
MCHP,true
MDLZ,true
MELI,true
META,true
MNST,true
MRVL,true
MSFT,true
MSTR,true
MU,true
NFLX,true
NVDA,true
NXPI,true
ODFL,true
ON,true
ORLY,true
PANW,true
PAYX,true
PCAR,true
PDD,true
PEP,true
PLTR,true
PYPL,true
QCOM,true
QQQ,true
REGN,true
ROP,true
ROST,true
SBUX,true
SHOP,true
SNPS,true
SPY,true
TEAM,true
TMUS,true
TSLA,true
TTD,true
TTWO,true
TXN,true
VRSK,true
VRTX,true
WBD,true
WDAY,true
XEL,true
ZS,true
ANSS,false
